"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"93",2018-01-13 05:30:00,68,67,96,4.6,NA,"NW",0,29.94,NA,NA,NA,NA,NA,"Heavy Fog",1,0,0,0,0,0
"94",2018-01-13 08:30:00,66,63,88,4.6,NA,"NNW",1,30,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"95",2018-01-13 11:30:00,79,71,69,2.3,NA,"NE",2,30,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"96",2018-01-13 14:30:00,81,69,59,4.6,NA,"East",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"97",2018-01-13 17:30:00,77,69,69,2.3,NA,"ESE",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"98",2018-01-13 20:30:00,73,70,87,0,NA,"",2,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"99",2018-01-13 23:30:00,70,70,98,2.3,NA,"NW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"100",2018-01-14 02:30:00,68,67,97,4.6,NA,"NW",1,29.92,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"101",2018-01-14 05:30:00,64,61,87,4.6,NA,"NW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"102",2018-01-14 08:30:00,65,62,86,4.6,NA,"NNW",1,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"103",2018-01-14 11:30:00,79,61,45,4.6,NA,"ENE",2,30.01,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"104",2018-01-14 14:30:00,82,64,45,4.6,NA,"ENE",2,29.92,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"105",2018-01-14 17:30:00,77,69,69,3.5,NA,"ENE",2,29.92,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"106",2018-01-14 20:30:00,73,68,80,0,NA,"",2,29.99,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"107",2018-01-15 02:30:00,66,63,88,2.3,NA,"NW",1,29.97,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"108",2018-01-15 05:30:00,64,61,88,2.3,NA,"NW",1,29.97,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"109",2018-01-15 08:30:00,65,63,90,3.5,NA,"NNW",1,30.04,NA,NA,NA,NA,NA,"Mist",0,0,0,0,0,0
"110",2018-01-15 11:30:00,77,65,59,3.5,NA,"North",2,29.99,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"111",2018-01-15 14:30:00,82,71,61,3.5,NA,"East",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"112",2018-01-15 17:30:00,76,71,79,4.6,NA,"South",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"113",2018-01-15 20:30:00,72,68,83,0,NA,"",2,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"114",2018-01-15 23:30:00,68,65,87,0,NA,"",1,29.96,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"115",2018-01-16 02:30:00,66,63,87,2.3,NA,"NNW",1,29.93,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"116",2018-01-16 05:30:00,62,59,87,4.6,NA,"NNW",1,29.92,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"117",2018-01-16 08:30:00,62,57,80,4.6,NA,"NNW",2,29.98,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"118",2018-01-16 11:30:00,78,69,68,2.3,NA,"SE",2,29.97,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
